English,Bhutia,Tibetan Script,Category
Thank you,Thukjeche/ Kadrinche,ཐུགས་རྗེ་ཆེ་,Basic conversation
Greetings,Kuzu Zangpo,སྐུ་བཟུ་བཟང་པོ་,Basic conversation
Where?,Khana?,ཁ་ན,Basic conversation
What?,Khamu?,ཁ་མུ,Basic conversation
When?,Nam?,ནམ,Basic conversation
Who?,Ga?,ག,Basic conversation
How,Katem?,ཀ་ཐེམ,Basic conversation
Sorry,Gongmati,གོངས་མ་ཏེད,Basic conversation
Yes,Lei,ལགས་ཡིན་,Basic conversation
No,Me,མེ,Basic conversation
Name,Ming,མིང,Basic conversation
My,Nge ki,ངེའི་ཁྱི་,Pronoun
I,Nga,ང་,Pronoun
You,Chod/ Rang (Hon.)/ Lenge (Hon.),ཆོད་།་རང,Pronoun
Good,Lem,ལེམ་,Basic conversation
Bad,Nyenda,ཉེན་ད,Basic conversation
Understand,Hago,ཧ་གོགས་,Basic conversation
Know,Shes/ Khen (Hon.),ཤེས་།་མཁྱེན་,Basic conversation
1,chik,གཅིག་,Number
2,nyid,གཉིས་,Number
3,sum,གསུམ་,Number
4,zhi,གཞི་,Number
5,nga,ལྔ་,Number
6,dug,འདུག་,Number
7,dern,འདུན,Number
8,ged,རྒྱད,Number
9,gu,གུ་,Number
10,chutamba,བཅུ་ཏམ་བ,Number
11,chukchi,,Number
12,chunyi,,Number
13,chusum,,Number
14,chuzhi,,Number
15,Chenga,,Number
16,Chudug,,Number
17,chupden,,Number
18,chupgey,,Number
19,Chugu,,Number
20,Nyichu/ Kechik,,Number
100,Gyacig,,Number
1000,Tongtacig,,Number
Mother,Amla,,Relationships
Father,Yapola,,Relationships
Older sister,Aila,,Relationships
Younger sister,Ashi,,Relationships
Older brother,Agya,,Relationships
Younger brother,Pilo,,Relationships
Maternal aunt (younger),Anila,,Relationships
Paternal aunt (younger),Amchungla,,Relationships
Maternal uncle (younger),Aja,,Relationships
Paternal uncle (younger),Akuyap,,Relationships
son,bu/ sey (hon.),,Relationships
daughter,bum/ sem (hon.),,Relationships
grandson,Tsapyuk,,Relationships
granddaughter,Tsam,,Relationships
nephew,Tsapyuk,,Relationships
niece,Tsam,,Relationships
great grandson,Yarpuk,,Relationships
great grand daughter,,,Relationships
dog,Kyi,,Animals
cat,Alio,,Animals
cow,Ngo,,Animals
bird,Pichung,,Animals
pig,Phaku,,Animals
mouse,Pitsi,,Animals
animal,Semcan,,Animals
fish,Nya,,Animals
horse,Ta,,Animals
yak,Yak,,Animals
car,Motor,,Transport
Road,lam,,Transport
boat,Chudrul,,Transport
hat,Uzha,,Clothing
clothing,Kola /Namsa (hon.),,Clothing
head,Go,,Body parts
nose,Nagu,,Body parts
mouth,Kha,,Body parts
eyes,Migdo,,Body parts
tongue,Dza,,Body parts
hands,Laku,,Body parts
feet,Khanglep,,Body parts
leg,Kham,,Body parts
arms,Lanya,,Body parts
torso,Zu,,Body parts
brain,Lepo,,Body parts
heart,Donying,,Body parts
blood,Kya,,Body parts
sickness/illness,Na,,Body parts
shoulder,Pungpo,,Body parts
elbow,Keling,,Body parts
Heel,Tinpo,,Body parts
top,Yarley,,Direction
bottom,Oley,,Direction
left,Ur,,Direction
right,A,,Direction
north,Chang,,Direction
south,Lho,,Direction
east ,Nub,,Direction
west,Shar,,Direction
Monday,Zadawo,,Time
Tuesday,Zamigmar,,Time
Wednesday,Zalhako,,Time
Thursday,Zaphurbo,,Time
Friday,Zapasang,,Time
Saturday,Zapenpo,,Time
Sunday,Zanyima,,Time
